name	asciiname	longitude	latitude	countryCode	population
Villa María	Villa Maria	-63.24016	-32.40751	AR	92453
Villa La Angostura	Villa La Angostura	-71.64631	-40.76173	AR	7526
Villa Huidobro	Villa Huidobro	-64.58686	-34.83826	AR	5155
Villa General Belgrano	Villa General Belgrano	-64.5559	-31.97542	AR	5888
Villa Dolores	Villa Dolores	-65.18958	-31.94585	AR	28009
Villa de Soto	Villa de Soto	-64.99947	-30.85523	AR	7303
Villa del Totoral	Villa del Totoral	-63.71667	-30.81667	AR	7110
Villa Constitución	Villa Constitucion	-60.3297	-33.22778	AR	44271
Chañar Ladeado	Chanar Ladeado	-62.03831	-33.32524	AR	5639
Villa Carlos Paz	Villa Carlos Paz	-64.49778	-31.42414	AR	69451
Villa Cañás	Villa Canas	-61.60757	-34.00565	AR	9328
Villa Berthet	Villa Berthet	-60.41263	-27.29174	AR	12029
Villa Ángela	Villa Angela	-60.71526	-27.57383	AR	43511
Villa Allende	Villa Allende	-64.29538	-31.29458	AR	21683
Viedma	Viedma	-62.99668	-40.81345	AR	48940
Vicuña Mackenna	Vicuna Mackenna	-64.39215	-33.91965	AR	8994
Victorica	Victorica	-65.43586	-36.21505	AR	6565
Victoria	Victoria	-60.15478	-32.61841	AR	25139
Viale	Viale	-60.00722	-31.86782	AR	8939
Vera	Vera	-60.21261	-29.4593	AR	19797
Venado Tuerto	Venado Tuerto	-61.96885	-33.74556	AR	72340
Veinticinco de Mayo	Veinticinco de Mayo	-67.71638	-37.7741	AR	6962
Veinticinco de Mayo	Veinticinco de Mayo	-60.17271	-35.4323	AR	24668
Valle Hermoso	Valle Hermoso	-64.48084	-31.11732	AR	5486
Ushuaia	Ushuaia	-68.3	-54.8	AR	58028
Unquillo	Unquillo	-64.31615	-31.23073	AR	15369
Trevelin	Trevelin	-71.46386	-43.0858	AR	6395
Tres Isletas	Tres Isletas	-60.43207	-26.34067	AR	24747
Tres Arroyos	Tres Arroyos	-60.27978	-38.37394	AR	47136
Trelew	Trelew	-65.30505	-43.24895	AR	93442
Trancas	Trancas	-65.28492	-26.21575	AR	6658
Totoras	Totoras	-61.16852	-32.5844	AR	9587
Tostado	Tostado	-61.76917	-29.23202	AR	14000
Tinogasta	Tinogasta	-67.56488	-28.06319	AR	14509
Tilisarao	Tilisarao	-65.29109	-32.73292	AR	5478
Tilcara	Tilcara	-65.3509	-23.57757	AR	5640
Termas de Río Hondo	Termas de Rio Hondo	-64.85972	-27.49362	AR	27838
Tartagal	Tartagal	-63.80131	-22.51637	AR	60819
Tancacha	Tancacha	-63.9807	-32.24309	AR	5184
Tafí Viejo	Tafi Viejo	-65.25921	-26.73201	AR	48459
Taco Pozo	Taco Pozo	-63.28333	-25.61667	AR	8470
Suncho Corral	Suncho Corral	-63.42938	-27.93357	AR	6087
Sunchales	Sunchales	-61.56148	-30.94404	AR	18757
Simoca	Simoca	-65.35647	-27.26272	AR	7939
Sierra Grande	Sierra Grande	-65.35574	-41.60603	AR	6978
Senillosa	Senillosa	-68.43281	-39.01412	AR	6394
Sastre	Sastre	-61.82887	-31.76762	AR	5521
Sarmiento	Sarmiento	-69.06996	-45.58815	AR	8292
Santo Tomé	Santo Tome	-60.7653	-31.66274	AR	59072
Santiago del Estero	Santiago del Estero	-64.26149	-27.79511	AR	354692
Santa Sylvina	Santa Sylvina	-61.13747	-27.83261	AR	9040
Santa Rosa de Río Primero	Santa Rosa de Rio Primero	-63.40191	-31.15231	AR	6788
Santa Rosa de Calamuchita	Santa Rosa de Calamuchita	-64.53631	-32.06905	AR	9504
Santa Rosa	Santa Rosa	-64.28333	-36.61667	AR	111424
